code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0940138P,Lycée des métiers Armand Guillaumin,lycée professionnel,public,Créteil,94,Orly,94054,94310,10 rue Pierre Corneille,48.74890738659517,2.403196381256488
0930846P,Lycée professionnel Voillaume,lycée professionnel,public,Créteil,93,Aulnay-sous-Bois,93005,93601,136 rue DE MITRY,48.94454426421222,2.5082514034395587
0941018W,Lycée polyvalent Édouard Branly,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,33 rue DU PETIT BOIS,48.783884965626555,2.4669439734030068
0932048W,Lycée polyvalent Blaise Cendrars,lycée polyvalent,public,Créteil,93,Sevran,93071,93270,12 avenue LEON JOUHAUX,48.939573054461775,2.5387766314700504
0770940D,Lycée polyvalent Étienne Bezout,lycée polyvalent,public,Créteil,77,Nemours,77333,77791,31 avenue ETIENNE DAILLY,48.26198129575448,2.7119741963317705
0940123Y,Lycée Guillaume Apollinaire,lycée d'enseignement général et technologique,public,Créteil,94,Thiais,94073,94320,42 rue du pavé de Grignon,48.756951300656354,2.400208301462324
0771763Y,Lycée Charles le Chauve,lycée d'enseignement général et technologique,public,Créteil,77,Roissy-en-Brie,77390,77680,4 rue J. BODIN DE BOISMORTIER,48.79924111309776,2.648171578531452
0770930T,Lycée Henri Moissan,lycée d'enseignement général et technologique,public,Créteil,77,Meaux,77284,77100,20 cours de Verdun,48.9587066334898,2.87505516661365
0771997C,Lycée professionnel Jacques Prévert,lycée professionnel,public,Créteil,77,Combs-la-Ville,77122,77380,7 avenue Jean Jaurès,48.65522404672208,2.564065406447481
0940143V,Lycée professionnel Jean Moulin,lycée professionnel,public,Créteil,94,Vincennes,94080,94307,8 rue du Docteur Lebel,48.84655197901299,2.431285467310649
0772294A,Lycée Emily Brontë,lycée d'enseignement général et technologique,public,Créteil,77,Lognes,77258,77185,1 ESPLANADE FRANCOIS MITTERAND,48.83952918117187,2.648902400842065
0941470M,Lycée polyvalent Champlain,lycée d'enseignement général et technologique,public,Créteil,94,Chennevières-sur-Marne,94019,94430,61 rue DES BORDES,48.79882528150389,2.5564423463815262
0932229T,Lycée polyvalent Paul Le Rolland,lycée polyvalent,public,Créteil,93,Drancy,93029,93700,136 avenue DE CASTELNAU,48.92467426514844,2.4616792007868313
0772295B,Lycée polyvalent La Tour des Dames,lycée polyvalent,public,Créteil,77,Rozay-en-Brie,77393,77540,Rue DE VILPRES,48.6794389507492,2.964056166580102
0932047V,Lycée polyvalent Évariste Galois,lycée polyvalent,public,Créteil,93,Noisy-le-Grand,93051,93165,32 avenue MONTAIGNE,48.844976450093746,2.5389338989234025
