code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0941918Z,Lycée polyvalent Christophe Colomb,lycée polyvalent,public,Créteil,94,Sucy-en-Brie,94071,94370,154 rue de Boissy,48.759563451086045,2.5261158036914377
0941974K,Lycée polyvalent Robert Schuman,lycée polyvalent,public,Créteil,94,Charenton-le-Pont,94018,94220,2 rue DE L'EMBARCADERE,48.8184186264776,2.412790953648731
0941301D,Lycée polyvalent Fréderic Mistral,lycée polyvalent,public,Créteil,94,Fresnes,94034,94260,7 rue Frédéric Mistral,48.76122613706585,2.328688497832819
0771436T,Campus Bougainville,"lycée d'enseignement général, technologique et professionnel agricole",public,Créteil,77,Brie-Comte-Robert,77053,77257,Route departementale 319,48.68541804243584,2.6272732084605788
0940140S,Lycée professionnel Gourdou Leseurre,lycée professionnel,public,Créteil,94,Saint-Maur-des-Fossés,94068,94100,50 boulevard DE CHAMPIGNY,48.80209659868827,2.5067094253197815
0940319L,Établissement régional d'enseignement adapté - LEA - François Cavanna,lycée d’enseignement adapté,public,Créteil,94,Nogent-sur-Marne,94052,94130,3 avenue de Joinville,48.83498386464911,2.4735928520869215
0930136T,Lycée polyvalent Claude Nicolas Ledoux,lycée professionnel,public,Créteil,93,Les Pavillons-sous-Bois,93057,93320,1 boulevard de Paris,48.913886445675615,2.4919661979623395
0941952L,Lycée polyvalent François Arago,lycée polyvalent,public,Créteil,94,Villeneuve-Saint-Georges,94078,94190,36 avenue de l'Europe,48.730784017182465,2.4579412438695334
0932221J,Lycée polyvalent Blaise Pascal,lycée polyvalent,public,Créteil,93,Villemomble,93077,93250,18 rue MARC VIEVILLE,48.882270887269236,2.5112979907000073
0932267J,Lycée polyvalent Liberté,lycée polyvalent,public,Créteil,93,Romainville,93063,93230,27 A rue de la Liberté,48.882034300863076,2.4289848722414473
0940118T,Lycée polyvalent Louis Armand,lycée polyvalent,public,Créteil,94,Nogent-sur-Marne,94052,94130,173 boulevard DE STRASBOURG,48.8467161140249,2.4913060633969635
0940132H,Lycée professionnel Gabriel Péri,lycée professionnel,public,Créteil,94,Champigny-sur-Marne,94017,94500,41 avenue Boileau,48.80639438892424,2.5454130479978945
0940145X,Lycée professionnel Camille Claudel,lycée professionnel,public,Créteil,94,Vitry-sur-Seine,94081,94400,4 rue des carrières,48.79927411894196,2.392590514011896
0770342D,Lycée d'enseignement adapté Léopold Bellan,établissement régional d’enseignement adapté,public,Créteil,77,Chamigny,77078,77260,Domaine DE L'ANGE GARDIEN,48.98022117117861,3.145269903416594
0940115P,Lycée Romain-Rolland,lycée d'enseignement général et technologique,public,Créteil,94,Ivry-sur-Seine,94041,94200,17 rue LUCIEN NADAIRE,48.80143544126474,2.3936695095016853
0771357G,Lycée d'enseignement général technologique et professionnel agricole La Bretonnière,"lycée d'enseignement général, technologique et professionnel agricole",public,Créteil,77,Chailly-en-Brie,77070,77120,La Bretonnière,48.81341738428854,3.1503720861693494
0940124Z,Lycée Hector Berlioz,lycée d'enseignement général et technologique,public,Créteil,94,Vincennes,94080,94307,8 avenue Quinson,48.8467900679428,2.4269005402491595
0940121W,Lycée d'Arsonval,lycée d'enseignement général et technologique,public,Créteil,94,Saint-Maur-des-Fossés,94068,94107,65 rue DU PONT DE CRETEIL,48.802928331916775,2.4719285569079275
0772223Y,Lycée polyvalent René Descartes,lycée polyvalent,public,Créteil,77,Champs-sur-Marne,77083,77420,4 boulevard COPERNIC,48.84485873497132,2.5859255385350295
0940585A,Lycée polyvalent François Mansart,lycée polyvalent,public,Créteil,94,Saint-Maur-des-Fossés,94068,94100,25 avenue de la banque,48.790607475928766,2.497342821197465
0931233K,Lycée professionnel Jean-Baptiste Clément,lycée professionnel,public,Créteil,93,Gagny,93032,93220,25 rue DES TROIS NOYERS,48.88765281024767,2.54211943265557
0771995A,Lycée professionnel le Champ de Claye,lycée professionnel,public,Créteil,77,Claye-Souilly,77118,77410,71 rue Pasteur,48.93829001463312,2.6761344969569216
0940742W,Lycée polyvalent Guillaume Budé,lycée polyvalent,public,Créteil,94,Limeil-Brévannes,94044,94456,2 voie Georges Pompidou,48.743740806816575,2.510720424025152
0932120Z,Lycée polyvalent Henri Sellier,lycée polyvalent,public,Créteil,93,Livry-Gargan,93046,93190,73 avenue DU COLONEL FABIEN,48.91828460658835,2.5160126332917607
0940743X,Lycée polyvalent Marianne,lycée polyvalent,public,Créteil,94,Villeneuve-le-Roi,94077,94290,48 avenue le Foll,48.730688677911516,2.4261920598500555
0771336J,Lycée polyvalent les Pannevelles,lycée polyvalent,public,Créteil,77,Provins,77379,77481,Route DE CHALAUTRE LA PETITE,48.550737843247305,3.302437989116911
0932119Y,Lycée polyvalent Eugène Henaff,lycée polyvalent,public,Créteil,93,Bagnolet,93006,93170,55 avenue Raspail,48.874883930460726,2.4307211572569147
0941355M,Lycée professionnel Paul Bert,lycée polyvalent,public,Créteil,94,Maisons-Alfort,94046,94700,1 rue DU GUE AUX AUROCHS,48.81499680233944,2.4243206489988234
0770934X,Lycée polyvalent Léonard de Vinci,lycée polyvalent,public,Créteil,77,Melun,77288,77011,2 bis rue EDOUARD BRANLY,48.55108679994959,2.659903143940967
0932046U,Lycée polyvalent Léonard de Vinci,lycée polyvalent,public,Créteil,93,Tremblay-en-France,93073,93290,115 route DES PETITS PONTS,48.96688565446974,2.5736285046437746
0941232D,Lycée professionnel Jean Macé,lycée professionnel,public,Créteil,94,Choisy-le-Roi,94022,94600,103 rue Mirabeau,48.76366534654903,2.4216977518899667
0770927P,Lycée international François 1er,lycée d'enseignement général,public,Créteil,77,Fontainebleau,77186,77300,11 rue Victor Hugo,48.409272245652154,2.6958841068316453
0930122C,Lycée Condorcet,lycée d'enseignement général et technologique,public,Créteil,93,Montreuil,93048,93105,31 rue DESIRE CHEVALIER,48.85750093339525,2.445528654993236
0770922J,Lycée Gaston Bachelard,lycée d'enseignement général et technologique,public,Créteil,77,Chelles,77108,77505,32 avenue de l'Europe,48.88331912136845,2.6127267806892163
0932034F,Lycée Wolfgang Amadeus Mozart,lycée d'enseignement général et technologique,public,Créteil,93,Le Blanc-Mesnil,93007,93150,10 avenue Charles de Gaulle,48.94385962587952,2.4679598905818585
0930120A,Lycée Jacques Feyder,lycée d'enseignement général et technologique,public,Créteil,93,Épinay-sur-Seine,93031,93801,10 rue Henri Wallon,48.95509744548008,2.320839880589892
0940129E,Lycée polyvalent Jean Macé,lycée polyvalent,public,Créteil,94,Vitry-sur-Seine,94081,94407,34 Rue Jules Ferry,48.80173033946394,2.4004245248126694
