code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon,velo_temps_s,transport_temps_s,velo_temps_min,transport_temps_min,temps_min_s,temps_min_min,zone
0771995A,Lycée professionnel le Champ de Claye,lycée professionnel,public,Créteil,77,Claye-Souilly,77118,77410,71 rue Pasteur,48.93829001463312,2.6761344969569216,8173,4759.0,136.21666666666667,79.31666666666666,4759.0,79.31666666666666,Zone Nord Seine et Marne
0940742W,Lycée polyvalent Guillaume Budé,lycée polyvalent,public,Créteil,94,Limeil-Brévannes,94044,94456,2 voie Georges Pompidou,48.743740806816575,2.510720424025152,5441,3489.0,90.68333333333334,58.15,3489.0,58.15,Zone Sucy en Brie
0932120Z,Lycée polyvalent Henri Sellier,lycée polyvalent,public,Créteil,93,Livry-Gargan,93046,93190,73 avenue DU COLONEL FABIEN,48.91828460658835,2.5160126332917607,3807,3171.0,63.45,52.85,3171.0,52.85,Zone Sevran
0940743X,Lycée polyvalent Marianne,lycée polyvalent,public,Créteil,94,Villeneuve-le-Roi,94077,94290,48 avenue le Foll,48.73068867791152,2.4261920598500555,4983,3156.0,83.05,52.6,3156.0,52.6,Zone Creteil
0771336J,Lycée polyvalent les Pannevelles,lycée polyvalent,public,Créteil,77,Provins,77379,77481,Route DE CHALAUTRE LA PETITE,48.550737843247305,3.302437989116911,25546,6579.0,425.76666666666665,109.65,6579.0,109.65,Zone Sud Est Seine et Marne
0932119Y,Lycée polyvalent Eugène Henaff,lycée polyvalent,public,Créteil,93,Bagnolet,93006,93170,55 avenue Raspail,48.874883930460726,2.4307211572569147,1986,2455.0,33.1,40.91666666666666,1986.0,33.1,Zone Noisy le Grand
0941355M,Lycée professionnel Paul Bert,lycée polyvalent,public,Créteil,94,Maisons-Alfort,94046,94700,1 rue DU GUE AUX AUROCHS,48.81499680233944,2.4243206489988234,2583,1724.0,43.05,28.73333333333333,1724.0,28.73333333333333,Zone Creteil
0770934X,Lycée polyvalent Léonard de Vinci,lycée polyvalent,public,Créteil,77,Melun,77288,77011,2 bis rue EDOUARD BRANLY,48.55108679994959,2.659903143940967,13596,5937.0,226.6,98.95,5937.0,98.95,Zone Sud Seine et Marne
0932046U,Lycée polyvalent Léonard de Vinci,lycée polyvalent,public,Créteil,93,Tremblay-en-France,93073,93290,115 route DES PETITS PONTS,48.96688565446974,2.5736285046437746,6022,3874.0,100.36666666666666,64.56666666666666,3874.0,64.56666666666666,Zone Sevran
0941232D,Lycée professionnel Jean Macé,lycée professionnel,public,Créteil,94,Choisy-le-Roi,94022,94600,103 rue Mirabeau,48.76366534654903,2.4216977518899667,4125,3840.0,68.75,64.0,3840.0,64.0,Zone Creteil
